ID,Name,Type,Brand,Model Name,Category,Price,Quantity,Material,Capacity (Liters),Color,Voltage (V),Power Consumption (W),Weight (kg),Height (cm),Width (cm),Depth (cm)
20001,Cuisinart CPK-17 PerfecTemp Electric Kettle,Electric Kettle,Cuisinart,CPK-17 PerfecTemp Electric Kettle,Kitchen Appliances,79.99,10,Stainless Steel,1.7,Silver,110-240,1500,1.8
20002,HadinEEon Electric Kettle,Electric Kettle,HadinEEon,Electric Kettle,Kitchen Appliances,39.99,15,Glass,1.8,Black,110-240,1500,2.0
20003,Ovente Electric Kettle,Electric Kettle,Ovente,Electric Kettle,Kitchen Appliances,29.99,20,Stainless Steel,1.5,Red,110-240,1200,1.5
20004,Breville BKE820XL IQ Kettle,Electric Kettle,Breville,BKE820XL IQ Kettle,Kitchen Appliances,99.99,8,Stainless Steel,1.8,Stainless Steel,110-240,1500,2.5
20005,Hamilton Beach Electric Kettle,Electric Kettle,Hamilton Beach,Electric Kettle,Kitchen Appliances,24.99,12,Plastic,1.7,White,110-240,1500,1.2
20006,Zojirushi CD-LFC30 Micom Water Boiler and Warmer,Electric Kettle,Zojirushi,CD-LFC30 Micom Water Boiler and Warmer,Kitchen Appliances,149.99,6,Stainless Steel,3.0,Black,110-240,800,3.6
20007,Miroco Electric Kettle,Electric Kettle,Miroco,Electric Kettle,Kitchen Appliances,49.99,10,Stainless Steel,1.5,Blue,110-240,1500,1.7
20008,Secura SWK-1701DB Stainless Steel Double Wall Electric Kettle,Electric Kettle,Secura,SWK-1701DB Stainless Steel Double Wall Electric Kettle,Kitchen Appliances,59.99,8,Stainless Steel,1.7,Black,110-240,1500,2.4
20009,KOIOS Electric Kettle,Electric Kettle,KOIOS,Electric Kettle,Kitchen Appliances,34.99,15,Glass,1.8,White,110-240,1500,2.2
20010,Russell Hobbs Retro Style Electric Kettle,Electric Kettle,Russell Hobbs,Retro Style Electric Kettle,Kitchen Appliances,79.99,10,Stainless Steel,1.7,Black,110-240,1500,1.9
