ID,Name,Type,Brand,Model Name,Category,Price,Quantity,Power Consumption (W),Color,Weight (kg),Width (cm),Height (cm),Depth (cm),Voltage (V)
86001,Samsung Microwave, Microwave, Samsung, MS23F301TAS, Kitchen Appliances, 99.99, 10, 800, Silver, 12, 48, 28, 38, 220-240
86002,LG Microwave, Microwave, LG, MH7265DPS, Kitchen Appliances, 119.99, 8, 900, Black, 13, 50, 30, 40, 220-240
86003,Panasonic Microwave, Microwave, Panasonic, NN-E28JBMBPQ, Kitchen Appliances, 89.99, 12, 750, Black, 11, 46, 26, 36, 220-240
86004,Sharp Microwave, Microwave, Sharp, R360KM, Kitchen Appliances, 79.99, 15, 700, Black, 10, 44, 24, 34, 220-240
86005,Bosch Microwave, Microwave, Bosch, HMT75M551B, Kitchen Appliances, 149.99, 6, 1000, Stainless Steel, 14, 52, 32, 42, 220-240
86006,Whirlpool Microwave, Microwave, Whirlpool, AMW730IX, Kitchen Appliances, 129.99, 7, 950, Stainless Steel, 13, 50, 30, 40, 220-240
86007,Candy Microwave, Microwave, Candy, CMXG20DS, Kitchen Appliances, 109.99, 9, 850, Silver, 12, 48, 28, 38, 220-240
86008,Hotpoint Microwave, Microwave, Hotpoint, MWH2734B, Kitchen Appliances, 79.99, 12, 700, Black, 10, 44, 24, 34, 220-240
86009,Indesit Microwave, Microwave, Indesit, MWI3213IXUK, Kitchen Appliances, 94.99, 8, 800, Stainless Steel, 12, 46, 26, 36, 220-240
86010,AEG Microwave, Microwave, AEG, MBE2657D-M, Kitchen Appliances, 139.99, 5, 950, Stainless Steel, 13, 50, 30, 40, 220-240
