ID,Name,Type,Brand,Model Name,Category,Price,Quantity,Power Consumption (W),Color,Weight (kg),Width (cm),Height (cm),Depth (cm),Voltage (V)
84001,Philips Steam Iron, Iron, Philips, PerfectCare GC3920/20, Home Appliances, 49.99, 15, 2400, Blue, 1.2, 15, 12, 8, 220-240
84002,Tefal Steam Iron, Iron, Tefal, Ultimate Anti-Calc FV9740, Home Appliances, 69.99, 10, 2800, Red, 1.5, 14, 13, 9, 220-240
84003,Rowenta Steam Iron, Iron, Rowenta, Focus DW5110, Home Appliances, 59.99, 12, 2400, Black, 1.3, 16, 11, 7, 220-240
84004,Bosch Steam Iron, Iron, Bosch, Sensixx'x DI90, Home Appliances, 79.99, 8, 2800, White, 1.4, 17, 14, 10, 220-240
84005,Black+Decker Steam Iron, Iron, Black+Decker, Digital Advantage D6000, Home Appliances, 39.99, 20, 2000, Purple, 1.1, 13, 10, 6, 220-240
84006,Philips Steam Generator Iron, Iron, Philips, PerfectCare Elite GC9630/20, Home Appliances, 189.99, 5, 2700, Gold, 2.0, 18, 16, 11, 220-240
84007,Tefal Steam Generator Iron, Iron, Tefal, Pro Express GV7830, Home Appliances, 159.99, 6, 2800, Blue, 2.2, 19, 17, 12, 220-240
84008,Rowenta Steam Generator Iron, Iron, Rowenta, Silence Steam DG8960, Home Appliances, 179.99, 4, 2600, Black, 2.1, 20, 15, 10, 220-240
84009,Bosch Steam Generator Iron, Iron, Bosch, Sensixx'x DI90, Home Appliances, 149.99, 7, 2500, White, 2.3, 21, 18, 13, 220-240
84010,Morphy Richards Steam Iron, Iron, Morphy Richards, Power Steam Elite 332100, Home Appliances, 89.99, 9, 2400, Purple, 1.5, 16, 13, 9, 220-240
