ID,Name,Type,Brand,Model Name,Category,Price,Quantity,Power Consumption (W),Speed Settings,Capacity (L),Color,Weight (kg),Height (cm),Width (cm),Depth (cm),Voltage (V)
48001,Philips Blender,Blender,Philips,HR3652/01,Kitchen Appliances,89.99,5,1000,5,1.5,Black,3.2,40.5,17.2,17.2,230
48002,Kenwood Blend-X Pro Blender,Blender,Kenwood,BLP900BK,Kitchen Appliances,149.00,3,1600,3,1.6,Silver,4.8,45.0,20.0,20.0,230
48003,Bosch SilentMixx Blender,Blender,Bosch,MMB42G0B,Kitchen Appliances,79.00,4,800,2,1.5,Red,2.7,39.0,19.0,19.0,230
48004,Tefal Blendforce II Blender,Blender,Tefal,BL4358,Kitchen Appliances,64.99,6,600,2,1.25,White,2.1,36.0,15.0,15.0,230
48005,KitchenAid Artisan Blender,Blender,KitchenAid,5KSB5553EER,Kitchen Appliances,219.00,2,550,5,1.5,Empire Red,4.5,38.7,19.1,23.9,230
48006,Smeg Retro Style Blender,Blender,Smeg,BLF01CRUK,Kitchen Appliances,199.00,3,800,4,1.5,Cream,4.2,39.7,16.3,19.7,230
48007,Moulinex Blendforce Blender,Blender,Moulinex,LM420510,Kitchen Appliances,54.99,5,600,2,1.25,Black,2.3,39.0,17.5,17.5,230
48008,Aicok High-Speed Blender,Blender,Aicok,AY-48,Kitchen Appliances,69.99,4,1200,8,1.75,Silver,4.5,40.0,19.0,19.0,230
48009,Severin Smoothie Mix & Go Blender,Blender,Severin,SM 3737,Kitchen Appliances,44.99,6,300,2,0.6,Green,1.5,35.0,12.5,12.5,230
48010,IKOHS Retro Fussion Blender,Blender,IKOHS,BT-BL190W,Kitchen Appliances,79.95,3,1000,3,1.5,Mint,3.0,40.0,16.0,16.0,230
