ID,Name,Type,Brand,Model Name,Category,Price,Quantity,Capacity (kg),Power Consumption (W),Boil Time (min),Material,Color,Weight (kg),Height (cm),Width (cm),Depth (cm),Voltage (V)
50000,Bosch Freestanding Dryer,Dryer,Bosch,WTR85V20GB,Laundry Appliances,649,10,8.0,2400,80.0,Stainless Steel,White,47.0,84.2,59.8,59.9,230
50001,Siemens Condenser Dryer,Dryer,Siemens,WT45N202GB,Laundry Appliances,799,6,7.0,2200,90.0,Stainless Steel,Silver,45.0,84.2,59.8,63.6,230
50002,Miele Heat Pump Dryer,Dryer,Miele,TCE520WP,Laundry Appliances,1599,3,9.0,2100,100.0,Stainless Steel,White,49.0,85.0,59.6,64.3,230
50003,AEG Freestanding Dryer,Dryer,AEG,T8DEC946S,Laundry Appliances,849,8,8.0,2300,85.0,Stainless Steel,White,47.0,85.0,59.6,63.0,230
50004,Whirlpool Vented Dryer,Dryer,Whirlpool,DLC6010,Laundry Appliances,399,12,6.0,2000,70.0,Steel,White,43.0,84.4,59.9,64.9,230
50005,Electrolux Integrated Dryer,Dryer,Electrolux,EWC1350,Laundry Appliances,749,5,7.0,2400,75.0,Stainless Steel,Silver,45.0,82.0,59.6,63.0,230
50006,Beko Freestanding Dryer,Dryer,Beko,DRY833CIW,Laundry Appliances,499,10,8.0,2300,80.0,Steel,White,46.0,84.6,59.5,65.4,230
50007,Samsung Heat Pump Dryer,Dryer,Samsung,DV90TA040AE,Laundry Appliances,899,4,9.0,2200,90.0,Stainless Steel,Black,48.0,85.0,59.8,64.0,230
50008,Hotpoint Vented Dryer,Dryer,Hotpoint,TVYM650C6P,Laundry Appliances,349,14,6.0,2100,75.0,Steel,White,42.0,82.0,59.5,57.2,230
50009,Indesit Condenser Dryer,Dryer,Indesit,IDCE8450BH,Laundry Appliances,549,7,7.0,2400,80.0,Stainless Steel,Silver,46.0,85.0,59.5,61.5,230
